Index,PTTEP.BK.Adjusted
2017-08-29,84.411285
2017-08-30,84.652458
2017-08-31,84.411285
2017-09-01,84.893639
2017-09-04,84.652458
2017-09-05,84.652458
2017-09-06,85.134811
2017-09-07,87.305389
2017-09-08,86.823036
2017-09-11,85.617165
2017-09-12,84.652458
2017-09-13,83.92894
2017-09-14,86.09951
2017-09-15,85.617165
2017-09-18,86.823036
2017-09-19,88.270088
2017-09-20,87.787743
2017-09-21,87.546562
2017-09-22,85.375984
2017-09-25,86.340691
2017-09-26,87.305389
2017-09-27,86.581863
2017-09-28,86.581863
2017-09-29,86.340691
2017-10-02,87.546562
2017-10-03,87.546562
2017-10-04,86.340691
2017-10-05,86.823036
2017-10-06,86.340691
2017-10-09,86.09951
2017-10-10,88.028915
2017-10-11,88.511269
2017-10-12,89.234795
2017-10-16,89.71714
2017-10-17,89.958321
2017-10-18,88.511269
2017-10-19,87.064217
2017-10-20,83.205414
2017-10-24,82.723068
2017-10-25,82.964241
2017-10-27,82.481888
2017-10-30,83.687767
2017-10-31,83.205414
2017-11-01,82.723068
2017-11-02,84.652458
2017-11-03,85.858337
2017-11-06,88.511269
2017-11-07,91.164185
2017-11-08,91.164185
2017-11-09,90.199493
2017-11-10,90.440666
2017-11-13,90.440666
2017-11-14,89.958321
2017-11-15,88.752441
2017-11-16,88.752441
2017-11-17,88.752441
2017-11-20,88.752441
2017-11-21,89.475967
2017-11-22,89.958321
2017-11-23,90.681847
2017-11-24,89.71714
2017-11-27,90.440666
2017-11-28,90.199493
2017-11-29,88.752441
2017-11-30,88.028915
2017-12-01,88.993614
2017-12-04,89.71714
2017-12-06,89.958321
2017-12-07,89.958321
2017-12-08,90.199493
2017-12-12,90.923019
2017-12-13,90.199493
2017-12-14,90.681847
2017-12-15,91.164185
2017-12-18,94.058296
2017-12-19,
2017-12-20,
2017-12-21,
2017-12-22,
2017-12-25,
2017-12-26,
2017-12-27,
2017-12-28,
2017-12-29,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,117.211105
2018-02-02,118.175804
2018-02-05,115.2817
2018-02-06,113.834648
2018-02-07,114.081581
2018-02-08,112.10614
2018-02-09,110.624557
2018-02-12,114.081581
2018-02-13,112.599998
2018-02-14,108.649124
2018-02-15,111.118423
2018-02-16,111.118423
2018-02-19,111.118423
2018-02-20,111.612282
2018-02-21,113.093857
2018-02-22,113.587723
2018-02-23,114.081581
2018-02-26,116.55088
2018-02-27,115.563156
2018-02-28,114.081581
2018-03-02,113.587723
2018-03-05,110.130699
2018-03-06,112.10614
2018-03-07,110.130699
2018-03-08,111.118423
2018-03-09,112.10614
2018-03-12,114.081581
2018-03-13,114.081581
2018-03-14,114.081581
2018-03-15,114.575439
2018-03-16,115.563156
2018-03-19,115.069298
2018-03-20,113.093857
2018-03-21,114.575439
2018-03-22,114.575439
2018-03-23,114.081581
2018-03-26,116.057014
2018-03-27,116.057014
2018-03-28,115.069298
2018-03-29,113.093857
2018-03-30,113.093857
2018-04-02,114.575439
2018-04-03,113.093857
2018-04-04,110.624557
2018-04-05,112.10614
2018-04-09,113.587723
2018-04-10,113.587723
2018-04-11,114.575439
2018-04-12,116.55088
2018-04-17,120.501755
2018-04-18,120.995613
2018-04-19,131.366669
2018-04-20,134.823685
2018-04-23,132.848251
2018-04-24,136.305267
2018-04-25,132.354385
2018-04-26,130.872803
2018-04-27,131.860519
2018-04-30,132.354385
2018-05-02,134.823685
2018-05-03,134.823685
2018-05-04,135.811401
2018-05-07,135.811401
2018-05-08,129.391235
2018-05-09,132.848251
2018-05-10,133.342102
2018-05-11,134.329819
2018-05-14,133.342102
2018-05-15,134.823685
2018-05-16,136.799118
2018-05-17,145.688599
2018-05-18,143.713165
2018-05-21,147.170181
2018-05-22,147.664032
2018-05-23,142.725433
2018-05-24,138.280701
2018-05-25,138.774567
2018-05-28,129.391235
2018-05-30,130.872803
2018-05-31,132.848251
2018-06-01,132.354385
2018-06-04,134.823685
2018-06-05,134.329819
2018-06-06,139.762283
2018-06-07,137.786835
2018-06-08,134.329819
2018-06-11,133.835968
2018-06-12,134.823685
2018-06-13,133.342102
2018-06-14,134.329819
2018-06-15,132.354385
2018-06-18,128.403503
2018-06-19,123.958771
2018-06-20,127.415787
2018-06-21,124.452629
2018-06-22,127.909653
2018-06-25,129.885086
2018-06-26,129.885086
2018-06-27,134.329819
2018-06-28,134.329819
2018-06-29,138.774567
2018-07-02,130.872803
2018-07-03,132.354385
2018-07-04,132.848251
2018-07-05,130.872803
2018-07-06,128.403503
2018-07-09,132.354385
2018-07-10,136.799118
2018-07-11,134.329819
2018-07-12,132.354385
2018-07-13,133.835968
2018-07-16,133.342102
2018-07-17,128.403503
2018-07-18,128.403503
2018-07-19,129.391235
2018-07-20,131.860519
2018-07-23,131.366669
2018-07-24,129.885086
2018-07-25,132.848251
2018-07-26,136.305267
2018-07-31,136.799118
2018-08-01,140.75
2018-08-02,138.280701
2018-08-03,138.774567
2018-08-06,137.786835
2018-08-07,140.75
2018-08-08,142
2018-08-09,141.5
2018-08-10,138.5
2018-08-14,139
2018-08-15,136.5
2018-08-16,135
2018-08-17,134.5
2018-08-20,135.5
2018-08-21,135
2018-08-22,138.5
2018-08-23,140
2018-08-24,139.5
2018-08-27,141
2018-08-28,142.5
2018-08-29,143
2018-08-30,142.5
2018-08-31,142.5
2018-09-03,142
2018-09-04,142.5
2018-09-05,139
2018-09-06,140.5
2018-09-07,139
2018-09-10,137.5
2018-09-11,138
2018-09-12,141
2018-09-13,148
2018-09-14,149.5
2018-09-17,152
2018-09-18,152
2018-09-19,153
2018-09-20,154
2018-09-21,153.5
2018-09-24,154.5
2018-09-25,153.5
2018-09-26,155
2018-09-27,156.5
2018-09-28,155
2018-10-01,160
2018-10-02,156.5
2018-10-03,156.5
2018-10-04,154
2018-10-05,150.5
2018-10-08,145
2018-10-09,148
2018-10-10,152
2018-10-11,146
2018-10-12,148
2018-10-16,148
2018-10-17,146.5
2018-10-18,143.5
2018-10-19,144.5
2018-10-22,145
2018-10-24,134
2018-10-25,137.5
2018-10-26,134.5
2018-10-29,136.5
2018-10-30,134.5
2018-10-31,139.5
2018-11-01,138
2018-11-02,141
2018-11-05,138
2018-11-06,138
2018-11-07,138
